palabra;ocurrencia;noqueja;queja
espacio;1;0.01183432;0.01183432
viejo;0;0.99408284;0.98816568
viejo;1;0.00591716;0.01183432
pasado;0;0.99408284;0.982248521
pasado;1;0.00591716;0.017751479
tal;0;0.99408284;0.98816568
tal;1;0.00591716;0.01183432
verano;0;0.99408284;0.982248521
verano;1;0.00591716;0.017751479
rata;0;0.99408284;0.982248521
rata;1;0.00591716;0.017751479
cliente;0;0.99408284;0.98816568
cliente;1;0.00591716;0.01183432
evitar;0;0.99408284;0.982248521
evitar;1;0.00591716;0.017751479
vecino;0;0.99408284;0.976331361
vecino;1;0.00591716;0.023668639
ahorrar;0;0.98816568;0.982248521
ahorrar;1;0.01183432;0.017751479
coste;0;0.99408284;0.982248521
coste;1;0.00591716;0.017751479
bildu;0;0.99408284;0.982248521
bildu;1;0.00591716;0.017751479
irabazi;0;0.99408284;0.982248521
irabazi;1;0.00591716;0.017751479
pedir;0;0.99408284;0.982248521
pedir;1;0.00591716;0.017751479
suponer;0;0.982248521;0.99408284
suponer;1;0.017751479;0.00591716
tuvisa;0;0.982248521;0.99408284
tuvisa;1;0.017751479;0.00591716
foronda;0;0.99408284;0.976331361
foronda;1;0.00591716;0.023668639
pequeño;0;0.99408284;0.98816568
pequeño;1;0.00591716;0.01183432
casco;0;0.99408284;0.98816568
casco;1;0.00591716;0.01183432
llama;0;0.98816568;0.98816568
llama;1;0.01183432;0.01183432
resto;0;0.99408284;0.976331361
resto;1;0.00591716;0.023668639
sala;0;0.99408284;0.98816568
sala;1;0.00591716;0.01183432
cantidad;0;0.99408284;0.98816568
cantidad;1;0.00591716;0.01183432
viaje;0;0.99408284;0.98816568
viaje;1;0.00591716;0.01183432
palabra;0;0.98816568;0.99408284
palabra;1;0.01183432;0.00591716
cuerda;0;0.99408284;0.99408284
cuerda;1;0.00591716;0.00591716
haberse;0;0.99408284;0.99408284
haberse;1;0.00591716;0.00591716
lovaina;0;0.99408284;0.98816568
lovaina;1;0.00591716;0.01183432
plataforma;0;0.99408284;0.98816568
plataforma;1;0.00591716;0.01183432
quedar;0;0.99408284;0.99408284
quedar;1;0.00591716;0.00591716
respecto;0;0.98816568;0.98816568
respecto;1;0.01183432;0.01183432
despues;0;0.982248521;0.99408284
despues;1;0.017751479;0.00591716
acordar;0;0.98816568;0.98816568
acordar;1;0.01183432;0.01183432
civico;0;0.99408284;0.98816568
civico;1;0.00591716;0.01183432
tirar;0;0.99408284;0.98816568
tirar;1;0.00591716;0.01183432
mes;0;0.98816568;0.98816568
mes;1;0.01183432;0.01183432
numero;0;0.99408284;0.970414201
numero;1;0.00591716;0.029585799
producto;0;0.98816568;0.98816568
producto;1;0.01183432;0.01183432
abetxuko;0;0.99408284;0.98816568
abetxuko;1;0.00591716;0.01183432
puntual;0;0.99408284;0.976331361
puntual;1;0.00591716;0.023668639
vino;0;0.98816568;0.99408284
vino;1;0.01183432;0.00591716
precio;0;0.982248521;0.99408284
precio;1;0.017751479;0.00591716
joventut;0;0.976331361;0.99408284
joventut;1;0.023668639;0.00591716
aparcabicis;0;0.99408284;0.976331361
aparcabicis;1;0.00591716;0.023668639
pendiente;0;0.99408284;0.982248521
pendiente;1;0.00591716;0.017751479
tarea;0;0.99408284;0.982248521
