palabra;ocurrencia;administracion;delincuencia;espaciopublico;limpieza;movilidad
esperar;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
esperar;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
talar;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
talar;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
árbol;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
árbol;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
accidentar;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.966666666666667
accidentar;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0333333333333333
local;0;0.954545454545455;0.846153846153846;0.96;0.976744186046512;0.983333333333333
local;1;0.0454545454545455;0.153846153846154;0.04;0.0232558139534884;0.0166666666666667
policía;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
policía;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
tres;0;0.954545454545455;0.807692307692308;0.96;0.953488372093023;0.966666666666667
tres;1;0.0454545454545455;0.192307692307692;0.04;0.0465116279069767;0.0333333333333333
esquina;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.983333333333333
esquina;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
gris;0;0.954545454545455;0.923076923076923;0.96;0.906976744186046;0.983333333333333
gris;1;0.0454545454545455;0.0769230769230769;0.04;0.0930232558139535;0.0166666666666667
informar;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.983333333333333
informar;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
baja;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.966666666666667
baja;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0333333333333333
solo;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.983333333333333
solo;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
abrir;0;0.954545454545455;0.961538461538462;0.96;0.930232558139535;0.983333333333333
abrir;1;0.0454545454545455;0.0384615384615385;0.04;0.0697674418604651;0.0166666666666667
centro;0;0.863636363636364;0.961538461538462;0.96;0.953488372093023;0.966666666666667
centro;1;0.136363636363636;0.0384615384615385;0.04;0.0465116279069767;0.0333333333333333
civico;0;0.909090909090909;0.961538461538462;0.96;0.953488372093023;0.983333333333333
civico;1;0.0909090909090909;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
ciclista;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.966666666666667
ciclista;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0333333333333333
espejo;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
espejo;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
peatón;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.933333333333333
peatón;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0666666666666667
proponer;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
proponer;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
seguridad;0;0.909090909090909;0.961538461538462;0.96;0.976744186046512;0.95
seguridad;1;0.0909090909090909;0.0384615384615385;0.04;0.0232558139534884;0.05
vía;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.966666666666667
vía;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0333333333333333
mañana;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
mañana;1;0.0454545454545455;0.115384615384615;0.04;0.0232558139534884;0.0166666666666667
bus;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.916666666666667
bus;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0833333333333333
conductor;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.966666666666667
conductor;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0333333333333333
mal;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
mal;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
barrio;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.966666666666667
barrio;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0333333333333333
parecer;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.966666666666667
parecer;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0333333333333333
página;0;0.954545454545455;0.961538461538462;0.92;0.953488372093023;0.966666666666667
página;1;0.0454545454545455;0.0384615384615385;0.08;0.0465116279069767;0.0333333333333333
ver;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.95
ver;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.05
movilidad;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
movilidad;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
urbano;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
urbano;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
detener;0;0.954545454545455;0.884615384615385;0.96;0.976744186046512;0.983333333333333
